timestamp,case_id,branch_id,density,measurement,declared_karat
2026-05-12T11:40:44.553233,8d1abe81,MUM-003,17.8447,121.7644,22
2026-05-12T18:40:44.553233,4c20201a,MUM-003,19.3577,10.8073,24
2026-05-13T01:40:44.553233,d08e7ed2,BLR-001,12.9946,24.0269,14
2026-05-13T08:40:44.553233,4cc740de,BLR-001,17.855,9.4569,22
2026-05-13T15:40:44.553233,b14c8bb0,MUM-003,17.8417,41.8331,22
2026-05-13T22:40:44.553233,7ba33c1f,BLR-002,19.3348,8.4738,24
2026-05-14T05:40:44.553233,9b801332,BLR-001,13.1448,106.5414,14
2026-05-14T12:40:44.553233,e73e09ff,BLR-002,13.0869,44.7737,14
2026-05-14T19:40:44.553233,ae88c059,BLR-002,17.7291,3.2781,22
2026-05-15T02:40:44.553233,a46d4b26,BLR-002,15.6021,76.705,18
2026-05-15T09:40:44.553233,434e74aa,BLR-001,17.7605,12.1746,22
2026-05-15T16:40:44.553233,7558c58f,BLR-002,17.8372,8.8758,22
2026-05-15T23:40:44.553233,4dde8be7,BLR-001,17.8251,26.3924,22
2026-05-16T06:40:44.553233,c119f326,BLR-002,17.8579,160.6173,22
2026-05-16T13:40:44.553233,821852e4,MUM-003,19.3886,25.4974,24
2026-05-16T20:40:44.553233,18b0b339,MUM-003,13.0788,66.0839,14
2026-05-17T03:40:44.553233,5ce8b05c,BLR-001,19.3837,7.2174,24
2026-05-17T10:40:44.553233,8d60979a,MUM-003,19.3054,7.9753,24
2026-05-17T17:40:44.553233,ed538542,MUM-003,19.3002,37.278,24
2026-05-18T00:40:44.553233,542edafc,BLR-002,17.7855,53.5016,22
2026-05-18T07:40:44.553233,4aee83b8,BLR-001,15.5028,30.0201,18
2026-05-18T14:40:44.553233,69d82a82,BLR-002,13.1402,240.3972,14
2026-05-18T21:40:44.553233,03d772db,BLR-002,15.4964,14.4249,18
2026-05-19T04:40:44.553233,1601f0c4,BLR-002,19.2704,17.7078,24
2026-05-19T11:40:44.553233,97bafda1,BLR-002,19.3439,7.0924,24
2026-05-19T18:40:44.553233,25610132,BLR-002,15.537,4.8672,18
2026-05-20T01:40:44.553233,87c7fcd8,BLR-002,15.5884,83.0585,18
2026-05-20T08:40:44.553233,45a7372c,BLR-002,15.4925,36.9102,18
2026-05-20T15:40:44.553233,529492dd,BLR-001,19.3903,55.3208,24
2026-05-20T22:40:44.553233,3cc388fd,MUM-003,19.3896,10.2952,24
2026-05-21T05:40:44.553233,ef3e7f88,BLR-002,13.1553,57.1171,14
2026-05-21T12:40:44.553233,59873b5f,BLR-002,13.1137,14.6423,14
2026-05-21T19:40:44.553233,42df2c38,BLR-002,19.3468,18.6912,24
2026-05-22T02:40:44.553233,2f8a4292,BLR-002,15.5043,52.6968,18
2026-05-22T09:40:44.553233,ee5bbc22,BLR-002,15.5322,10.1898,18
2026-05-22T16:40:44.553233,a777b74e,BLR-002,13.0978,91.2549,14
2026-05-22T23:40:44.553233,98f23637,MUM-003,19.3038,46.5375,24
2026-05-23T06:40:44.553233,d0844b2a,MUM-003,13.0597,175.2529,14
2026-05-23T13:40:44.553233,c8088942,BLR-002,13.135,40.0284,14
2026-05-23T20:40:44.553233,d29fc359,MUM-003,17.7566,176.5433,22
2026-05-24T03:40:44.553233,75d45dfc,BLR-001,17.8113,111.1051,22
2026-05-24T10:40:44.553233,dbceac5c,BLR-002,17.8424,3.722,22
2026-05-24T17:40:44.553233,8ff71adb,BLR-001,15.5587,4.2922,18
2026-05-25T00:40:44.553233,05a62df7,BLR-001,19.2592,75.4934,24
2026-05-25T07:40:44.553233,080e5a9a,BLR-002,19.2824,20.5301,24
2026-05-25T14:40:44.553233,cda4d9b2,MUM-003,19.2635,94.0475,24
2026-05-25T21:40:44.553233,b470e475,BLR-001,19.2766,133.2066,24
2026-05-26T04:40:44.553233,f5668cdb,BLR-002,17.8073,16.4059,22
2026-05-26T11:40:44.553233,c96607fa,BLR-001,15.5939,27.3434,18
2026-05-26T18:40:44.553233,a51e2196,BLR-001,15.538,90.0069,18
2026-05-27T01:40:44.553233,6f4d3490,BLR-001,9.5068,8.5208,22
2026-05-27T08:40:44.553233,ae72c967,BLR-001,9.6674,7.2985,18
2026-05-27T15:40:44.553233,143bf8a2,MUM-003,9.8057,7.554,22
2026-05-27T22:40:44.553233,848e0ba2,BLR-001,10.3214,8.2576,24
2026-05-28T05:40:44.553233,4bf99e47,BLR-001,10.1505,7.3933,22
2026-05-28T12:40:44.553233,51a3f3b0,BLR-001,10.285,8.1362,24
2026-05-28T19:40:44.553233,ec80b7f4,MUM-003,9.2169,7.4868,24
2026-05-29T02:40:44.553233,54c5d36f,BLR-001,8.3833,8.5349,14
2026-05-29T09:40:44.553233,815b23c6,BLR-001,8.3054,7.1577,22
2026-05-29T16:40:44.553233,4b889f12,MUM-003,9.1704,7.2363,14
2026-06-26T11:42:45.850761,5e0e9c51,main,15.3846,11.22,22
2026-06-26T11:43:41.381787,25c93104,main,21.8182,11.45,14
2026-06-26T12:02:36.883956,5e807b26,main,17.1429,11.3,18
2026-06-26T22:42:22.391053,86582013,main,12.7273,12.9,22
2026-07-03T09:21:20.658415,dec91980,main,23.5294,11.49,22
2026-07-03T09:54:09.617028,b92f5fcd,main,20.0,0.95,24
2026-07-03T09:55:21.267149,a98c72af,main,27.7778,0.964,24
2026-07-03T09:56:23.044823,fafc1de2,main,9.0909,0.89,24
2026-07-03T09:56:36.079620,1b764051,main,19.1571,0.9478,24
2026-07-03T10:24:35.442659,69dbcd67,main,18.4502,0.9458,24
2026-07-03T10:25:17.473496,67a32f3e,main,19.2308,0.948,24
2026-07-03T10:45:18.515738,5ed4e8c8,BLR-001,17.2414,9.42,22
2026-07-03T10:58:18.629889,b64ddb8e,CHN-007,40.0,9.75,22
2026-07-03T11:06:14.174123,2de567dc,HYD-002,19.2308,18.96,24
2026-07-03T11:07:28.044577,3a8818ef,CHN-007,40.0,9.75,22
2026-07-03T11:27:34.401109,f2b50fec,BLR-001,17.2414,9.42,22
2026-07-03T11:40:51.213304,021dd90a,BLR-001,17.2414,9.42,22
2026-07-03T11:41:23.035913,d50393e1,HYD-002,19.2308,18.96,24
2026-07-03T11:41:40.990041,6dc8ee1d,CHN-007,40.0,9.75,22
2026-07-04T16:21:37.339206,d632e972,BLR-001,17.2414,9.42,22
2026-07-04T16:30:16.536144,adb379c0,BLR-001,17.2414,9.42,22
